address,balance
0xabdc0b185c9bbea5eeb42c28fc68b3d568d78426,10180.638744
0xcf64347be4fd6701c4ee44166ee34067d7dab853,10161.553628
0xc889aa3b4c5287c78f213688a0f1f18d60966954,10091.485956
0xcbb05ea09dbc233264152747462d8099e7364218,10077.917057
0xfb4c8a951e67c7b11b79b94125ea1ac700af72ca,10013.095908
0xfc1241bbc5c411a8744e7e889528821d410d0bb4,10000.000000
0xe8c5928895b1931c3d5ed4e92e60b5a6db5d3feb,9998.000000
0x1fb84675b80e6ed97a3e276d0c0287a4152a19fa,9992.802568
0x14deb50855423971867fd46ad4567074dd0adf40,9989.842011
0x5f0e76d6a05b100e006f1e7d05a941f726024b02,9900.890000
0x2b3bf74b29f59fb8dda41cf3d6a8da28cf8e7921,9720.983488
0xfe9e10e3527b3a1c52c5756ed9f4ca24505772e0,9671.751287
0xd9ea3ee0f14783c5ed4a188445edfd68d3c868d0,9592.364778
0x729f1a0e3f5633fd78ffb26a53a977d39260de80,9573.449075
0x6985bb10bd0faf2efd4bd9243e085a7bfeffaa49,9572.120454
0x7263d39c82192c755e2bc718b885b306c591ab33,9529.091634
0x34d0972e3b2956b35938e4f016e8462df6a47127,9437.526389
0x11e08f4aa1eb8076d471c7a2487a68d47448f4e3,9427.841775
0xa96853390c776ce8307b46b4d1a857ab310ab018,9391.286530
0x97297f9660732d760b942e4cfe9dc534a2511e58,9377.320000
0x6dc7dc230305d1f125bce6593c6fda9a205efb63,9352.000000
0xd1c921829db71034b077e585fa4f28850f2b5267,9306.305163
0xd97107064b8c7520aae6c6e6ca75bb2aa73b670d,9290.209994
0x0b369fbc44db7e4f006ee347d46f799019bca418,9100.170250
0xc6426dcd6804a4519d366389d48ecc05370bd76a,9043.361130
0x8b350e37339f643d40120cb0e1e23f163d547f75,9030.000000
0x41b544acb8d8a5e4ab096c33af8620a9803fc5a8,9014.476263
0x03c196a2c0bef8037000018fe5fd94cd0c37c76b,9012.232807
0x23643af05b7d26c5cf216aa4de968a61d706eddf,8996.116729
0x88e371657420afc78d0ee2fbdecf9b8c605112af,8996.030000
0x612f7c7c7cec4547fb4cbea8265c884314ec7a20,8982.103594
0x85d81ee851d36423a5784cd3cb6f1a1193cb5978,8952.028749
0x67e65c05f4705066db9839c25ed06496d7e6127b,8599.237600
0x5db18393658797cc64f50bef25709fd714bf7c2a,8481.440000
0x655ba94865bbe6cac30e9555d1604b030f062310,8446.550000
0x03d1a4882fff43e175c6466cccfd0fef523d51ca,8399.000000
0xa3222357a0eccf60c73606170be6c99adecb59b3,8393.281111
0x93f27596da809c2b8d0e4899d82518ff0157ef7c,8315.000000
0xa7031a1edc6526c7341480e602b53afd0bf387f5,8313.786247
0xa06171c34b4a761975023968848f5d4bcf85ea6a,8304.101409
0x3ba9ea0ffeff9efdd7cb7eafb3ac6788a21b5aa7,8248.007541
0x839a5aa93bbfbc084160c24f65f1ed249fd9a0ed,8145.120000
0xc16566d7f28c6bd0d9c6bc1f7998c37b7fa76c30,8135.835311
0x8f62e061cdc72045c794c3c1e3006cf142894a9b,8062.720928
0x78f1f2a8ad3442a43e54dd4d1bc1af94a6ad3569,8000.112619
0xabc50f245d6c937ec6152e6ffcb113faf43315ad,7999.520000
0x4f4ed743e0e6dd7c38341f31b757bb2700c31da5,7923.300980
0xca6adfdf21d3444349ba73df9b293d0a56b015c6,7810.562462
0xaa4c9d6e5e349f319abb625aa8dca5f52abea757,7792.777547
0xeac1d28f771e05b71fd1ff14fd738bfcac7b23cc,7601.361592
0x05c08bab97c8564a1abb682d53e45af013f26c3b,7581.895088
0x2585e8b8c97d87b075b6f128cbfbbe4ee6eda6f9,7531.232000
0x2f787ac09482512dbebaa1328b55989bf1573686,7529.284625
0x83ad394ecd405fe372579b0e5d0d78143469e69c,7500.000000
0x161e68f84948c4e812edf4ec7ab400fe6535614a,7490.876847
0xfe46b2da6e14541120ac91a7be58643c545e016a,7400.000000
0xe25a329d385f77df5d4ed56265babe2b99a5436e,7293.239811
0xa0962b67472f3c55d122ef4f18c9f149aee4e308,7213.540574
0xf65db1050aae447775f9bafccdde8d6b9923a93b,7200.000000
0x5027d540e4cb7692e5e862517670bc525be4aa0a,7106.179185
0x8c6df8b191d81726e17653e8d51d668a88d25c22,7000.000000
0xf8d390f23b06d420daa629d3b6a9a24bd27c1ef3,6965.152334
0x12792f05f90589204731b8fbcd53a2a829529f12,6902.429092
0x7b7cba43df4295c468969b737523c2b09364fea4,6842.975877
0xd8b0be02074aaa44750227e561891b40c16bcf4f,6800.000000
0x1c603de22c8c6fce3227e6c1ba63baacd6a46632,6775.565912
0x258c1c140abd06b864a447a9c96a88baa4d83d1e,6770.591173
0x504ce9e51e508c85a161058c12e970a903d482fc,6678.841924
0x514a1a09d7c75ac46f6631707c74d42e2a886e70,6650.000000
0x3e6d8dc4a043f8fd00a3a6b73e6b7b8f09c3bd9d,6631.422628
0xfe37c7e90892b3a802581b03396f8d88d3f407d7,6620.800000
0x83eabbe98d23ef662fbc0d1256df7d48fdcb885a,6497.850002
0xc33dc77590f3f4aa38a283468f76716580f8ec23,6470.556042
0x91272cbed80a45c11618cc4bdc9ff0eef2a16744,6468.850798
0x1c39d55c3c8cc5cd92e61a5396d1723706cb07d0,6456.926391
0x80a3604977270b7ef2e637f9eb78ce1c3fa64316,6379.034795
0xf95cb626e1906caa01fcec26a7c212969df1415c,6351.733890
0x3a61da6d37493e2f248a6832f49b52af0a6f4fbb,6344.820000
0xd55510bfd75434d3c6efec6e556f6f27d8d1439a,6277.583333
0xed5c9d9afb6bed09aa47d6ab5a4ef2fad5a3f8b8,6265.850000
0x8329d783f96e48d50f0f1f5a3c7f83b73a5c0218,6265.742058
0xeb963db9f2bf9c9dfabbdc0e09a46b49b045be87,6102.020000
0xf8191d98ae98d2f7abdfb63a9b0b812b93c873aa,6053.197497
0xca30c27a5aaa546c3f09bba2da7cc48553249718,6047.250000
0x8ba03ca29a222327d793b71bba5afdb6f8d05aaf,6000.100000
0x6f4461676dca5a60d2f7acbee239f6907b4874ac,5995.750000
0xa3958e797f86476e561eb0f12f6285f98ce017dd,5959.752643
0x20aafeeff3ccfdb72ed1c95642b814a9cd074b6a,5925.693604
0x7a7cac22b77d4df8aa4ef0d88e827a8d6212335e,5872.770383
0x3072dac1391fad0321d460b555f322aae89b75ab,5833.510000
0x74aa5387681505c806ff1e972b12cdfd01406828,5814.947737
0x233dd63556c91bd4db564a82612e3c252c1d71eb,5788.886977
0x1741921c5ca222d7739373a5f6eb1876f229977a,5742.043575
0x7042141b22f5d44c974729847f22b3ff8616b6c2,5648.640000
0x6defd9d6dad4d0b9fce7e4415213c64dfb2863dd,5585.219080
0xc06f25517e906b7f9b4dec3c7889503bb00b3370,5548.734756
0x671b19a299cd18e5272e2341d00eb3d47e014edf,5547.700000
0x216550e25c54ea394d9b862375efc2c2c5cfbeb1,5526.350111
0x296def03fbcb6dd5f371c09495d6142a5098725e,5503.110000
0x00bce2aaebd002fe0ec7411a9fe3abe9b9d4ec32,5330.454199
0x4a4aaa0155237881fbd5c34bfae16e985a7b068d,5311.974149
0x4bc6c344c9a2813f5c8a53caa2916c9b33ad21c0,5270.002886
0x6893ed8d2b45ed938811a2964a400de6059115c5,5229.760000
0xad5bf37725d0c704700a15a9e608540f2e150a45,5225.190000
0x04f0118ce30d1ab158a2d5fe08ce79f15f94b2a3,5180.000000
0xaef76079dc8856e25ba927a10e0cfbb3c35b6841,5174.160000
0x657cfbf8715dbb18d8c9ddbf5b81201a7b8fcc7b,5099.065750
0x736c175a5844dbfe0b7625cfa6b3c13f4708e774,5053.930000
0x42009020cd263575047ccc39fb2fdcc4937c2bfa,5025.481410
0xb7ac21de6ae7700d4156c950cea10e6c07766b6b,5023.420000
0x270133900469230bca4530a85afa9d3e8360dfce,5023.040000
0x8914e25f613ad8355d3f14c4e3be752432e62549,5000.000073
0x4e9924daf81b1192cf58e2ba274295bcb55afd0d,5000.000000
0xb6dd58ea8abe9077d15e8f33384121b160928fe6,5000.000000
0x916609672d1999fd6bde2a5dcae7fe53a50bce5e,5000.000000
